# id,Word,Part of Speech,Per Million Words,Length
309,continue,verb,280.1,8.0
310,much,adverb,280.1,4.0
311,five,number,279.0,4.0
312,ago,adverb,278.3,3.0
313,body,noun,278.1,4.0
314,back,noun,277.8,4.0
315,door,noun,277.8,4.0
316,watch,verb,277.7,5.0
317,best,adjective,277.4,4.0
318,learn,verb,276.3,5.0
319,real,adjective,276.0,4.0
320,several,determiner,275.6,7.0
321,least,adverb,275.5,5.0
322,change,verb,273.7,6.0
323,around,adverb,272.9,6.0
324,lead,verb,272.6,4.0
325,idea,noun,271.4,4.0
326,whether,conjunction,270.9,7.0
327,level,noun,270.5,5.0
328,stop,verb,270.0,4.0
329,understand,verb,269.7,10.0
330,anything,pronoun,267.3,8.0
331,public,adjective,266.3,6.0
332,parent,noun,265.8,6.0
333,follow,verb,265.4,6.0
334,create,verb,265.4,6.0
335,together,adverb,264.9,8.0
336,such,preposition,264.7,4.0
337,art,noun,261.9,3.0
338,add,verb,261.9,3.0
339,war,noun,261.8,3.0
340,health,noun,261.7,6.0
341,only,adjective,261.6,4.0
342,speak,verb,260.8,5.0
343,result,noun,258.4,6.0
344,sure,adjective,258.2,4.0
345,teacher,noun,258.0,7.0
346,others,noun,257.3,6.0
347,already,adverb,256.0,7.0
348,history,noun,255.3,7.0
349,allow,verb,255.3,5.0
350,research,noun,255.1,8.0
351,office,noun,255.1,6.0
352,within,preposition,254.7,6.0
353,spend,verb,254.6,5.0
354,read,verb,253.5,4.0
355,morning,noun,253.3,7.0
356,walk,verb,252.9,4.0
357,education,noun,252.7,9.0
358,person,noun,252.6,6.0
359,party,noun,251.0,5.0
360,change,noun,249.8,6.0
361,open,verb,248.6,4.0
362,win,verb,247.7,3.0
363,girl,noun,245.4,4.0
364,guy,noun,245.4,3.0
365,grow,verb,244.5,4.0
366,moment,noun,243.8,6.0
367,himself,pronoun,242.9,7.0
368,low,adjective,242.2,3.0
369,maybe,adverb,240.9,5.0
370,early,adjective,240.4,5.0
371,force,noun,240.0,5.0
372,although,conjunction,239.8,8.0
373,food,noun,239.4,4.0
374,policy,noun,239.1,6.0
375,before,conjunction,238.8,6.0
376,boy,noun,238.8,3.0
377,process,noun,238.5,7.0
378,foot,noun,238.4,4.0
379,remember,verb,237.5,8.0
380,reason,noun,237.5,6.0
381,offer,verb,236.6,5.0
382,both,adverb,236.4,4.0
383,toward,preposition,235.5,6.0
384,air,noun,235.4,3.0
385,enough,adverb,235.3,6.0
386,across,preposition,234.6,6.0
387,actually,adverb,233.7,8.0
388,off,preposition,231.4,3.0
389,love,verb,230.4,4.0
390,including,preposition,230.3,9.0
391,second,number,230.3,6.0
392,oh,interjection,230.3,2.0
393,everything,pronoun,230.2,10.0
394,age,noun,229.8,3.0
395,yeah,interjection,229.8,4.0
396,able,adjective,229.3,4.0
397,music,noun,228.1,5.0
398,wait,verb,227.7,4.0
399,consider,verb,226.6,8.0
400,human,adjective,224.9,5.0
401,buy,verb,224.7,3.0
402,appear,verb,223.7,6.0
403,market,noun,223.2,6.0
404,probably,adverb,221.7,8.0
405,serve,verb,221.5,5.0
406,die,verb,218.6,3.0
407,experience,noun,218.0,10.0
408,home,adverb,217.6,4.0
409,nation,noun,216.0,6.0
410,college,noun,215.6,7.0
411,stay,verb,215.4,4.0
412,fall,verb,215.4,4.0
413,build,verb,214.8,5.0
414,interest,noun,214.7,8.0
415,send,verb,214.7,4.0
416,use,noun,214.6,3.0
417,course,adverb,213.8,6.0
418,cut,verb,213.4,3.0
419,sense,noun,213.1,5.0
420,plan,noun,212.9,4.0
421,someone,pronoun,212.5,7.0
422,expect,verb,212.4,6.0
423,effect,noun,211.6,6.0
424,behind,preposition,211.2,6.0
425,death,noun,207.2,5.0
426,local,adjective,206.6,5.0
427,kill,verb,205.9,4.0
428,suggest,verb,205.9,7.0
429,reach,verb,205.3,5.0
430,development,noun,204.4,11.0
431,class,noun,202.9,5.0
432,remain,verb,202.9,6.0
433,six,number,201.3,3.0
434,economic,adjective,200.9,8.0
435,control,noun,200.7,7.0
436,voice,noun,198.6,5.0
437,require,verb,198.4,7.0
438,former,determiner,197.6,6.0
439,care,noun,197.5,4.0
440,little,adverb,197.1,6.0
441,role,noun,197.0,4.0
442,thank,verb,196.8,5.0
443,report,verb,195.9,6.0
444,else,adverb,195.3,4.0
445,sell,verb,195.3,4.0
446,major,adjective,194.4,5.0
447,light,noun,194.3,5.0
448,field,noun,193.9,5.0
449,pull,verb,193.9,4.0
450,rate,noun,193.8,4.0
451,perhaps,adverb,193.5,7.0
452,raise,verb,193.4,5.0
453,show,noun,193.0,4.0
454,hard,adjective,192.9,4.0
455,effort,noun,192.2,6.0
456,late,adjective,192.0,4.0
457,drug,noun,191.6,4.0
458,pass,verb,191.5,4.0
459,police,noun,190.8,6.0
460,up,preposition,190.6,2.0
461,leader,noun,189.9,6.0
462,themselves,pronoun,189.5,10.0
463,military,adjective,189.2,8.0
464,possible,adjective,189.1,8.0
465,along,preposition,188.7,5.0
466,arm,noun,188.6,3.0
467,sometimes,adverb,188.5,9.0
468,develop,verb,188.5,7.0
469,relationship,noun,187.9,12.0
470,heart,noun,187.9,5.0
471,price,noun,187.7,5.0
472,decide,verb,186.7,6.0
473,better,adjective,186.4,6.0
474,according,preposition,186.2,9.0
475,whole,adjective,186.1,5.0
476,season,noun,186.1,6.0
477,strong,adjective,185.9,6.0
478,wife,noun,185.8,4.0
479,report,noun,184.8,6.0
480,model,noun,184.4,5.0
481,value,noun,184.3,5.0
482,less,adverb,184.3,4.0
483,difference,noun,184.2,10.0
484,mind,noun,184.0,4.0
485,decision,noun,183.2,8.0
486,free,adjective,182.4,4.0
487,finally,adverb,182.1,7.0
488,federal,adjective,181.8,7.0
489,return,verb,181.8,6.0
490,international,adjective,181.4,13.0
491,hope,verb,180.9,4.0
492,player,noun,180.8,6.0
493,view,noun,180.8,4.0
494,society,noun,180.4,7.0
495,road,noun,180.0,4.0
496,son,noun,179.8,3.0
497,explain,verb,179.5,7.0
498,tax,noun,179.4,3.0
499,join,verb,179.1,4.0
500,drive,verb,178.8,5.0
501,receive,verb,178.3,7.0
502,action,noun,177.8,6.0
503,town,noun,177.4,4.0
504,director,noun,177.4,8.0
505,carry,verb,176.7,5.0
506,break,verb,176.2,5.0
507,true,adjective,176.2,4.0
508,even,conjunction,175.7,4.0
509,official,noun,175.6,8.0
510,form,noun,174.4,4.0
511,building,noun,174.4,8.0
512,better,adverb,174.1,6.0
513,activity,noun,173.3,8.0
514,wear,verb,173.2,4.0
515,full,adjective,172.3,4.0
516,record,noun,172.2,6.0
517,pick,verb,171.5,4.0
518,position,noun,171.4,8.0
519,because,preposition,171.4,7.0
520,agree,verb,170.6,5.0
521,data,noun,170.2,4.0
522,support,verb,170.1,7.0
523,especially,adverb,169.6,10.0
524,site,noun,168.7,4.0
525,base,verb,168.6,4.0
526,early,adverb,168.0,5.0
527,event,noun,167.9,5.0
528,project,noun,167.7,7.0
529,space,noun,167.5,5.0
530,paper,noun,167.5,5.0
531,special,adjective,167.3,7.0
532,table,noun,167.2,5.0
533,whose,determiner,166.5,5.0
534,need,noun,166.4,4.0
535,couple,noun,166.4,6.0
536,figure,noun,166.4,6.0
537,ground,noun,166.0,6.0
538,center,noun,165.7,6.0
539,everyone,pronoun,165.6,8.0
540,oil,noun,165.3,3.0
541,produce,verb,164.8,7.0
542,court,noun,164.7,5.0
543,hit,verb,164.4,3.0
544,matter,noun,164.1,6.0
545,practice,noun,163.9,8.0
546,star,noun,163.8,4.0
547,cost,noun,163.4,4.0
548,eat,verb,163.3,3.0
549,end,verb,162.4,3.0
550,American,noun,162.4,8.0
551,industry,noun,162.3,8.0
552,teach,verb,161.5,5.0
553,situation,noun,161.3,9.0
554,patient,noun,160.5,7.0
555,image,noun,160.5,5.0
556,street,noun,159.2,6.0
557,Republican,noun,159.1,10.0
558,easy,adjective,159.1,4.0
559,phone,noun,159.1,5.0
560,wall,noun,158.6,4.0
561,describe,verb,158.6,8.0
562,itself,pronoun,158.0,6.0
563,half,determiner,157.6,4.0
564,product,noun,157.5,7.0
565,recent,adjective,157.1,6.0
566,news,noun,155.7,4.0
567,quite,adverb,155.5,5.0
568,worker,noun,155.5,6.0
569,test,noun,155.3,4.0
570,land,noun,155.0,4.0
571,technology,noun,154.6,10.0
572,hair,noun,154.6,4.0
573,either,adverb,154.4,6.0
574,face,verb,154.4,4.0
575,doctor,noun,154.3,6.0
576,support,noun,154.3,7.0
577,cover,verb,154.2,5.0
578,movie,noun,154.2,5.0
579,picture,noun,153.8,7.0
580,piece,noun,153.1,5.0
581,clear,adjective,152.6,5.0
582,type,noun,152.2,4.0
583,window,noun,151.8,6.0
584,catch,verb,151.6,5.0
585,north,noun,151.2,5.0
586,personal,adjective,150.9,8.0
587,baby,noun,150.8,4.0
588,love,noun,150.0,4.0
589,computer,noun,149.8,8.0
590,organization,noun,149.5,12.0
591,certain,adjective,149.4,7.0
